ID_UNIQUE,DDS_DATE_CREATION,LOC_LONG,LOC_LAT,ACTI_NOM_KEY
905138121871937000,2017-09-05T13:38:39,-82.442696,27.996595,2
907754632990076000,2017-09-12T18:55:44,-81.65428,30.307152,2
907300053466959000,2017-09-11T12:49:24,-81.3758,28.5335,2
906243053681299000,2017-09-08T14:49:15,-81.416435,28.662504,2
907238044054388000,2017-09-11T08:43:00,-81.70861,30.168612,2
908516236924944000,2017-09-14T21:22:04,-84.0554,30.9754,2
906751289345892000,2017-09-10T00:28:48,-80.369156,25.825644,2
907310081699704000,2017-09-11T13:29:15,-80.2241,25.7877,2
907058244610392000,2017-09-10T20:48:32,-82.33027,29.673172,2
906324713613402000,2017-09-08T20:13:45,-80.3103,25.778664,2
906973933022466000,2017-09-10T15:13:31,-81.7985,26.1529,2
907327131608285000,2017-09-11T14:37:00,-81.3961,30.2841,2
906571740603658000,2017-09-09T12:35:20,-80.31249,25.690546,2
905987049966194000,2017-09-07T21:51:59,-81.5841,28.5603,2
907434686250713000,2017-09-11T21:44:23,-80.07092,26.800438,2
907079135184420000,2017-09-10T22:11:33,-80.24,25.73,2
905990302569246000,2017-09-07T22:04:55,-82.3361,29.6652,2
906590234980372000,2017-09-09T13:48:50,-81.213036,28.503359,2
905844698249560000,2017-09-07T12:26:20,-80.348854,25.70191,2
907670012969791000,2017-09-12T13:19:29,-82.672905,27.79572,2
905906764327124000,2017-09-07T16:32:58,-81.65,30.33,2
906288415666208000,2017-09-08T17:49:30,-80.05068,26.712883,2
905786893744226000,2017-09-07T08:36:38,-82.00837,26.91656,2
918463754555273000,2017-10-12T08:09:57,-85.6475,30.1608,2
906994746895323000,2017-09-10T16:36:13,-80.82939,28.584726,2
906607849966579000,2017-09-09T14:58:50,-81.0749,29.2864,2
905942506394804000,2017-09-07T18:54:59,-81.38,28.54,2
905639051906121000,2017-09-06T22:49:10,-83.804474,27.698683,2
907262425120100000,2017-09-11T10:19:52,-80.1341,25.813,2
905297636902744000,2017-09-06T00:12:30,-80.21194,25.97188,2
905131755191095000,2017-09-05T13:13:21,-80.20437,25.80026,2
907818457504329000,2017-09-12T23:09:21,-80.13583,25.964445,2
907782588369997000,2017-09-12T20:46:49,-80.08916,26.234373,2
905559570625507000,2017-09-06T17:33:20,-80.33,25.65,2
907210679203049000,2017-09-11T06:54:15,-80.75286,28.353445,2
904907628068958000,2017-09-04T22:22:45,-83.804474,27.698683,2
909497513216020000,2017-09-17T14:21:19,-80.23964,25.72848,2
907410145495281000,2017-09-11T20:06:52,-82.37,27.19,2
906936023736713000,2017-09-10T12:42:52,-80.1396,26.6459,2
909411072494460000,2017-09-17T08:37:50,-80.11762,26.016047,2
907571777601228000,2017-09-12T06:49:08,-80.12262,26.721897,2
909963661732728000,2017-09-18T21:13:37,-83.804474,27.698683,2
906884278075711000,2017-09-10T09:17:15,-82.42136,27.99566,2
906203984205156000,2017-09-08T12:14:00,-80.249504,26.124353,2
905071920080535000,2017-09-05T09:15:35,-81.3758,28.5335,2
905475610234961000,2017-09-06T11:59:43,-81.63167,28.133333,2
906517261334274000,2017-09-09T08:58:52,-80.1341,25.813,2
907028953113808000,2017-09-10T18:52:08,-82.5526,27.2752,2
906196518805397000,2017-09-08T11:44:21,-81.58448,28.522882,2
906727012580171000,2017-09-09T22:52:20,-80.463196,25.70625,2
905887151681875000,2017-09-07T15:15:02,-83.804474,27.698683,2
906935715170340000,2017-09-10T12:41:39,-80.0673,26.7799,2
906309421130797000,2017-09-08T19:12:59,-81.4285,28.3571,2
907033101771198000,2017-09-10T19:08:37,-80.2,25.91,2
907224069996732000,2017-09-11T07:47:28,-82.05309,26.991793,2
906891320379232000,2017-09-10T09:45:14,-80.38359,25.839973,2
907046678859063000,2017-09-10T20:02:35,-81.32,28.51,2
907716811235438000,2017-09-12T16:25:27,-80.124,25.806536,2
907012047409426000,2017-09-10T17:44:58,-81.34309,28.355639,2
